"Interval","Hour","GMTIntervalEnd","variable","value"
2021-01-06 05:30:00,5,2021-01-06 11:30:00,"wind_pen_actual",NA
2021-01-06 05:25:00,5,2021-01-06 11:25:00,"wind_pen_actual",NA
2021-01-06 05:20:00,5,2021-01-06 11:20:00,"wind_pen_actual",NA
2021-01-06 05:15:00,5,2021-01-06 11:15:00,"wind_pen_actual",NA
2021-01-06 05:10:00,5,2021-01-06 11:10:00,"wind_pen_actual",NA
2021-01-06 05:05:00,5,2021-01-06 11:05:00,"wind_pen_actual",NA
2021-01-06 05:00:00,5,2021-01-06 11:00:00,"wind_pen_actual",NA
2021-01-06 04:55:00,4,2021-01-06 10:55:00,"wind_pen_actual",NA
2021-01-06 04:50:00,4,2021-01-06 10:50:00,"wind_pen_actual",NA
2021-01-06 04:45:00,4,2021-01-06 10:45:00,"wind_pen_actual",NA
2021-01-06 04:40:00,4,2021-01-06 10:40:00,"wind_pen_actual",NA
2021-01-06 04:35:00,4,2021-01-06 10:35:00,"wind_pen_actual",NA
2021-01-06 04:30:00,4,2021-01-06 10:30:00,"wind_pen_actual",NA
2021-01-06 04:25:00,4,2021-01-06 10:25:00,"wind_pen_actual",NA
2021-01-06 04:20:00,4,2021-01-06 10:20:00,"wind_pen_actual",NA
2021-01-06 04:15:00,4,2021-01-06 10:15:00,"wind_pen_actual",NA
2021-01-06 04:10:00,4,2021-01-06 10:10:00,"wind_pen_actual",NA
2021-01-06 04:05:00,4,2021-01-06 10:05:00,"wind_pen_actual",NA
2021-01-06 04:00:00,4,2021-01-06 10:00:00,"wind_pen_actual",NA
2021-01-06 03:55:00,3,2021-01-06 09:55:00,"wind_pen_actual",NA
2021-01-06 03:50:00,3,2021-01-06 09:50:00,"wind_pen_actual",NA
2021-01-06 03:45:00,3,2021-01-06 09:45:00,"wind_pen_actual",NA
2021-01-06 03:40:00,3,2021-01-06 09:40:00,"wind_pen_actual",NA
2021-01-06 03:35:00,3,2021-01-06 09:35:00,"wind_pen_actual",NA
2021-01-06 03:30:00,3,2021-01-06 09:30:00,"wind_pen_actual",NA
2021-01-06 03:25:00,3,2021-01-06 09:25:00,"wind_pen_actual",NA
2021-01-06 03:20:00,3,2021-01-06 09:20:00,"wind_pen_actual",NA
2021-01-06 03:15:00,3,2021-01-06 09:15:00,"wind_pen_actual",NA
2021-01-06 03:10:00,3,2021-01-06 09:10:00,"wind_pen_actual",NA
2021-01-06 03:05:00,3,2021-01-06 09:05:00,"wind_pen_actual",NA
2021-01-06 03:00:00,3,2021-01-06 09:00:00,"wind_pen_actual",NA
2021-01-06 02:55:00,2,2021-01-06 08:55:00,"wind_pen_actual",NA
2021-01-06 02:50:00,2,2021-01-06 08:50:00,"wind_pen_actual",NA
2021-01-06 02:45:00,2,2021-01-06 08:45:00,"wind_pen_actual",NA
2021-01-06 02:40:00,2,2021-01-06 08:40:00,"wind_pen_actual",NA
2021-01-06 02:35:00,2,2021-01-06 08:35:00,"wind_pen_actual",NA
2021-01-06 02:30:00,2,2021-01-06 08:30:00,"wind_pen_actual",NA
2021-01-06 02:25:00,2,2021-01-06 08:25:00,"wind_pen_actual",NA
2021-01-06 02:20:00,2,2021-01-06 08:20:00,"wind_pen_actual",NA
2021-01-06 02:15:00,2,2021-01-06 08:15:00,"wind_pen_actual",NA
