"Interval","Hour","GMTIntervalEnd","variable","value","ModifiedAt"
2020-12-30 06:10:00,6,"12/30/2020 12:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:05:00,6,"12/30/2020 12:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:00:00,6,"12/30/2020 12:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:55:00,5,"12/30/2020 11:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:50:00,5,"12/30/2020 11:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:45:00,5,"12/30/2020 11:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:40:00,5,"12/30/2020 11:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:35:00,5,"12/30/2020 11:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:30:00,5,"12/30/2020 11:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:25:00,5,"12/30/2020 11:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:20:00,5,"12/30/2020 11:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:15:00,5,"12/30/2020 11:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:10:00,5,"12/30/2020 11:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:05:00,5,"12/30/2020 11:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 05:00:00,5,"12/30/2020 11:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:55:00,4,"12/30/2020 10:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:50:00,4,"12/30/2020 10:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:45:00,4,"12/30/2020 10:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:40:00,4,"12/30/2020 10:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:35:00,4,"12/30/2020 10:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:30:00,4,"12/30/2020 10:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:25:00,4,"12/30/2020 10:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:20:00,4,"12/30/2020 10:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:15:00,4,"12/30/2020 10:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:10:00,4,"12/30/2020 10:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:05:00,4,"12/30/2020 10:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 04:00:00,4,"12/30/2020 10:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:55:00,3,"12/30/2020 09:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:50:00,3,"12/30/2020 09:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:45:00,3,"12/30/2020 09:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:40:00,3,"12/30/2020 09:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:35:00,3,"12/30/2020 09:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:30:00,3,"12/30/2020 09:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:25:00,3,"12/30/2020 09:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:20:00,3,"12/30/2020 09:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:15:00,3,"12/30/2020 09:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:10:00,3,"12/30/2020 09:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:05:00,3,"12/30/2020 09:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 03:00:00,3,"12/30/2020 09:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:55:00,2,"12/30/2020 08:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:50:00,2,"12/30/2020 08:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:45:00,2,"12/30/2020 08:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:40:00,2,"12/30/2020 08:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:35:00,2,"12/30/2020 08:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:30:00,2,"12/30/2020 08:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:25:00,2,"12/30/2020 08:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:20:00,2,"12/30/2020 08:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:15:00,2,"12/30/2020 08:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:10:00,2,"12/30/2020 08:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:05:00,2,"12/30/2020 08:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 02:00:00,2,"12/30/2020 08:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:55:00,1,"12/30/2020 07:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:50:00,1,"12/30/2020 07:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:45:00,1,"12/30/2020 07:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:40:00,1,"12/30/2020 07:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:35:00,1,"12/30/2020 07:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:30:00,1,"12/30/2020 07:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:25:00,1,"12/30/2020 07:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:20:00,1,"12/30/2020 07:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:15:00,1,"12/30/2020 07:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:10:00,1,"12/30/2020 07:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:05:00,1,"12/30/2020 07:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 01:00:00,1,"12/30/2020 07:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:55:00,0,"12/30/2020 06:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:50:00,0,"12/30/2020 06:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:45:00,0,"12/30/2020 06:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:40:00,0,"12/30/2020 06:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:35:00,0,"12/30/2020 06:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:30:00,0,"12/30/2020 06:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:25:00,0,"12/30/2020 06:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:20:00,0,"12/30/2020 06:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:15:00,0,"12/30/2020 06:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:10:00,0,"12/30/2020 06:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:05:00,0,"12/30/2020 06:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 00:00:00,0,"12/30/2020 06:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:55:00,23,"12/30/2020 05:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:50:00,23,"12/30/2020 05:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:45:00,23,"12/30/2020 05:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:40:00,23,"12/30/2020 05:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:35:00,23,"12/30/2020 05:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:30:00,23,"12/30/2020 05:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:25:00,23,"12/30/2020 05:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-29 23:20:00,23,"12/30/2020 05:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
